# timestamp tx ty tz qx qy qz qw
10003.203206000 36.590369213407 20.590643132007777 1.0689564912774379 0.5535908802480165 0.019600312588779718 -0.1391577027984992 0.8208459653336264
10003.236574000 36.59517550218909 20.55553507865993 1.0636649454423464 0.5533005956374569 0.01921607220951188 -0.1352619432951946 0.8217015274003583
10003.269943000 36.599814091385916 20.51975014545169 1.0598777874966738 0.5526275146720734 0.01903764030077836 -0.13101073924160114 0.8228466348491162
10003.303384000 36.60630789490461 20.483474976682956 1.057800901293972 0.5513388437702523 0.01899961046070061 -0.12778273111354319 0.8242184587726649
10003.336672000 36.614833229430324 20.445886692685075 1.0585112339353469 0.5499261011723375 0.018686653512872204 -0.12622150737732876 0.8254091248013175
10003.370045000 36.62344457106114 20.408037846556006 1.0621598777839714 0.5479986561052164 0.01705102992543807 -0.12597012146799566 0.8267637291165458
10003.403407000 36.632290897821534 20.370426351156986 1.0674577068106395 0.5456119336178503 0.013693932445093515 -0.12723391671822137 0.8282098916002637
10003.436769000 36.6414354805745 20.3330097500016 1.0729339739183945 0.5430022958743311 0.008411563823831517 -0.13016683459762696 0.8295386352907723
10003.470141000 36.64874044791544 20.29607299215964 1.0779796516655027 0.5402269792333502 0.0007750190885064241 -0.13430944970625075 0.8307317147993244
10003.503513000 36.65479140308148 20.259714734888323 1.0818219231008084 0.5371533995337547 -0.008825555379923635 -0.13993671515250267 0.8317487906176322
10003.536878000 36.66078427499469 20.223603656187187 1.0841724704105367 0.5340652167436841 -0.018059496484820543 -0.14615339726538062 0.832518698480115
10003.570286000 36.66636916615345 20.18698333780082 1.0858011493784512 0.5321477062978965 -0.022328241374574277 -0.14959016664143063 0.8330324425634309
10003.603615000 36.673169156496094 20.149549776458862 1.087029424915333 0.5316911882259617 -0.02173155443228879 -0.15090552211029823 0.8331024806717598
10003.636991000 36.68183314784177 20.11118070736434 1.0875174889038477 0.5321622234046397 -0.019137990452614287 -0.1520430640215941 0.8326584005373341
10003.670376000 36.689253574661976 20.07250150866881 1.0863443556165158 0.5326604832829351 -0.01750322583646413 -0.15323457385125763 0.8321572039048459
10003.703704000 36.69578501504057 20.03336125957892 1.083400709263726 0.5329571042979027 -0.017109503633611668 -0.15500283171426638 0.8316478293270325
